Name,Collection,Top 1 Organism,Top 2 Organism,Top 3 Organism,Top 4 Organism,Top 5 Organism,Top 6 Organism,Top 7 Organism,Top 8 Organism,Top 9 Organism,Top 10 Organism,Top 11 Organism,Top 12 Organism,Top 13 Organism,Top 14 Organism,Top 15 Organism,Top 16 Organism,Top 17 Organism,Top 18 Organism,Top 19 Organism,Top 20 Organism,Top 21 Organism,Top 22 Organism,Top 23 Organism,Top 24 Organism,Top 25 Organism,Top 26 Organism,Top 27 Organism,Top 28 Organism,Top 29 Organism,Top 30 Organism,Top 31 Organism,Top 32 Organism,Top 33 Organism,Top 34 Organism,Top 35 Organism,Top 36 Organism,Top 37 Organism,Top 38 Organism,Top 39 Organism,Top 40 Organism,Top 41 Organism,Top 42 Organism,Top 43 Organism,Top 44 Organism,Top 45 Organism,Top 46 Organism,Top 47 Organism,Top 48 Organism,Top 49 Organism,Top 50 Organism,Top 51 Organism,Top 52 Organism,Top 53 Organism,Top 54 Organism,Top 55 Organism,Top 56 Organism,Top 57 Organism,Top 58 Organism,Top 59 Organism,Top 60 Organism,Top 61 Organism,Top 62 Organism,Top 63 Organism,Top 64 Organism,Top 65 Organism,Top 66 Organism,Top 67 Organism,Top 68 Organism,Top 69 Organism,Top 70 Organism,Top 71 Organism,Top 72 Organism,Top 73 Organism,Top 74 Organism,Top 75 Organism,Top 76 Organism,Top 77 Organism,Top 78 Organism,Top 79 Organism,Top 80 Organism,Top 81 Organism,Top 82 Organism,Top 83 Organism,Top 84 Organism,Top 85 Organism,Top 86 Organism,Top 87 Organism,Top 88 Organism,Top 89 Organism,Top 90 Organism,Top 91 Organism,Top 92 Organism,Top 93 Organism,Top 94 Organism,Top 95 Organism,Top 96 Organism,Top 97 Organism,Top 98 Organism,Top 99 Organism,Top 100 Organism
Dehydration,health_concerns,[816] Bacteroides (1.0) (abundance=0) (cdf=0),[841] Roseburia (1.0) (abundance=0) (cdf=0),[872] Desulfovibrio (1.0) (abundance=0) (cdf=0),[2740] Peptococcus (1.0) (abundance=0) (cdf=0),[239934] Akkermansia (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorectal Neoplasms,health_concerns,[851] Fusobacterium nucleatum (68.47137536047323) (abundance=0) (cdf=0),[817] Bacteroides fragilis (29.141041223768646) (abundance=0) (cdf=0),[848] Fusobacterium (26.825764114804706) (abundance=0) (cdf=0),[33033] Parvimonas micra (24.209258966735792) (abundance=0) (cdf=0),[341694] Peptostreptococcus stomatis (20.337862566110857) (abundance=0) (cdf=0),[838] Prevotella (11.942031715868092) (abundance=0) (cdf=0),[837] Porphyromonas gingivalis (11.85337907254837) (abundance=0) (cdf=0),[1301] Streptococcus (10.914753833332387) (abundance=0) (cdf=0),[562] Escherichia coli (10.007418445533999) (abundance=0) (cdf=0),[853] Faecalibacterium prausnitzii (-9.902316330179811) (abundance=0) (cdf=0),[1583098] Fusobacterium hwasookii (9.764382313134425) (abundance=0) (cdf=0),[841] Roseburia (-9.067146822690445) (abundance=0) (cdf=0),[1257] Peptostreptococcus (8.443401097196357) (abundance=0) (cdf=0),[836] Porphyromonas (7.583130356388271) (abundance=0) (cdf=0),[1350] Enterococcus (7.059783914117209) (abundance=0) (cdf=0),[543311] Parvimonas (6.812920653223972) (abundance=0) (cdf=0),[1578] Lactobacillus (-6.5363187448151345) (abundance=0) (cdf=0),[1730] Eubacterium (6.322504240489515) (abundance=0) (cdf=0),[1263] Ruminococcus (6.1928378215366475) (abundance=0) (cdf=0),[189330] Dorea (6.0263286763269726) (abundance=0) (cdf=0),[1239] Bacillota (-5.953029285273929) (abundance=0) (cdf=0),[29391] Gemella morbillorum (5.903147745874216) (abundance=0) (cdf=0),[28123] Porphyromonas asaccharolytica (5.726586836694465) (abundance=0) (cdf=0),[186803] Lachnospiraceae (-5.0481563925671935) (abundance=0) (cdf=0),[1485] Clostridium (4.919469980065275) (abundance=0) (cdf=0),[32066] Fusobacteriota (4.848646866614401) (abundance=0) (cdf=0),[292800] Flavonifractor plautii (4.766960527613773) (abundance=0) (cdf=0),[84112] Eggerthella lenta (4.7060785823257625) (abundance=0) (cdf=0),[33042] Coprococcus (4.563745299077511) (abundance=0) (cdf=0),[1678] Bifidobacterium (-4.498019881443716) (abundance=0) (cdf=0),[28118] Odoribacter splanchnicus (4.276240546202445) (abundance=0) (cdf=0),[283168] Odoribacter (4.188593351602561) (abundance=0) (cdf=0),[970] Selenomonas (4.115812629092822) (abundance=0) (cdf=0),[186928] unclassified Lachnospiraceae (-4.066746460063536) (abundance=0) (cdf=0),[1512] [Clostridium] symbiosum (4.022000329169507) (abundance=0) (cdf=0),[1378] Gemella (3.8477973714628773) (abundance=0) (cdf=0),[1351] Enterococcus faecalis (3.6854878780319593) (abundance=0) (cdf=0),[28131] Prevotella intermedia (3.685403922365974) (abundance=0) (cdf=0),[81462] Thermanaerovibrio acidaminovorans (3.685403922365974) (abundance=0) (cdf=0),[35832] Bilophila (3.5226020749014535) (abundance=0) (cdf=0),[1335] Streptococcus equinus (3.468152297703146) (abundance=0) (cdf=0),[239934] Akkermansia (3.3998042492349287) (abundance=0) (cdf=0),[1150298] Fusicatenibacter saccharivorans (-3.3881878879476504) (abundance=0) (cdf=0),[872] Desulfovibrio (3.3760334653539243) (abundance=0) (cdf=0),[39948] Dialister (3.293355273785085) (abundance=0) (cdf=0),[543] Enterobacteriaceae (3.2482997683989807) (abundance=0) (cdf=0),[856] Fusobacterium varium (3.241616231927164) (abundance=0) (cdf=0),[649756] Anaerostipes hadrus (-3.2395393664737004) (abundance=0) (cdf=0),[39488] Anaerobutyricum hallii (-3.2395393664737004) (abundance=0) (cdf=0),[823] Parabacteroides distasonis (3.2345488057236844) (abundance=0) (cdf=0),[239935] Akkermansia muciniphila (3.2340888371277257) (abundance=0) (cdf=0),[1382] Lancefieldella parvula (3.2266304768467235) (abundance=0) (cdf=0),[1660] Schaalia odontolytica (3.2266304768467235) (abundance=0) (cdf=0),[1680] Bifidobacterium adolescentis (-3.170158601587331) (abundance=0) (cdf=0),[1211417] uncultured crAssphage (-3.155785586229745) (abundance=0) (cdf=0),[515620] Lachnospira eligens ATCC 27750 (-3.142016069215949) (abundance=0) (cdf=0),[203490] Fusobacteriia (2.868216364454708) (abundance=0) (cdf=0),[216851] Faecalibacterium (-2.845701425308942) (abundance=0) (cdf=0),[315405] Streptococcus gallolyticus (2.6648956679972717) (abundance=0) (cdf=0),[214856] Alistipes finegoldii (2.647900878560559) (abundance=0) (cdf=0),[102106] Collinsella (2.5601738745305593) (abundance=0) (cdf=0),[84108] Slackia (2.5444410896663827) (abundance=0) (cdf=0),[1261] Peptostreptococcus anaerobius (2.514000068414517) (abundance=0) (cdf=0),[166486] Roseburia intestinalis (-2.43885545987577) (abundance=0) (cdf=0),[724] Haemophilus (2.437014493507431) (abundance=0) (cdf=0),[1352] Enterococcus faecium (2.4346618597901184) (abundance=0) (cdf=0),[1924944] Porphyromonas sp (2.4346618597901184) (abundance=0) (cdf=0),[375288] Parabacteroides (2.280993852004381) (abundance=0) (cdf=0),[186801] Clostridia (-2.249321590208248) (abundance=0) (cdf=0),[165179] Segatella copri (-2.232658936073098) (abundance=0) (cdf=0),[1304] Streptococcus salivarius (-2.1847134519208873) (abundance=0) (cdf=0),[84107] Coriobacteriaceae (2.137538342346701) (abundance=0) (cdf=0),[84113] unclassified Coriobacteriaceae (2.137538342346701) (abundance=0) (cdf=0),[1917874] unclassified Christensenellaceae (2.137538342346701) (abundance=0) (cdf=0),[140625] Lachnobacterium (2.137538342346701) (abundance=0) (cdf=0),[39779] unclassified Eubacteriales (2.137538342346701) (abundance=0) (cdf=0),[544447] unclassified Erysipelotrichaceae (2.137538342346701) (abundance=0) (cdf=0),[36866] unclassified Enterobacteriaceae (-2.137538342346701) (abundance=0) (cdf=0),[508215] Rothia (2.137538342346701) (abundance=0) (cdf=0),[2614128] unclassified Clostridium (2.137538342346701) (abundance=0) (cdf=0),[61170] Holdemania (2.137538342346701) (abundance=0) (cdf=0),[2005519] Barnesiellaceae (2.137538342346701) (abundance=0) (cdf=0),[84111] Eggerthella (2.137538342346701) (abundance=0) (cdf=0),[216572] Oscillospiraceae (2.137538342346701) (abundance=0) (cdf=0),[577309] Paraprevotella (2.137538342346701) (abundance=0) (cdf=0),[2172] Methanobrevibacter (2.137538342346701) (abundance=0) (cdf=0),[40544] Sutterella (2.137538342346701) (abundance=0) (cdf=0),[42214] unclassified Veillonellaceae (2.137538342346701) (abundance=0) (cdf=0),[830] Butyrivibrio (2.137538342346701) (abundance=0) (cdf=0),[433337] unclassified Rikenellaceae (2.137538342346701) (abundance=0) (cdf=0),[28050] Lachnospira (2.137538342346701) (abundance=0) (cdf=0),[191303] Turicibacter (2.137538342346701) (abundance=0) (cdf=0),[713] Actinobacillus (-2.137538342346701) (abundance=0) (cdf=0),[906] Megasphaera (2.072905256772386) (abundance=0) (cdf=0),[946234] Flavonifractor (2.0510550092558604) (abundance=0) (cdf=0),[1623] Ligilactobacillus ruminis (-2.04130702914862) (abundance=0) (cdf=0),[907] Megasphaera elsdenii (-2.04130702914862) (abundance=0) (cdf=0),[626929] Bacteroides clarus (2.04130702914862) (abundance=0) (cdf=0),[160404] Anaerotignum lactatifermentans (2.0411829143284907) (abundance=0) (cdf=0),[33039] [Ruminococcus] torques (2.0411829143284907) (abundance=0) (cdf=0)
Defecation,health_concerns,[1578] Lactobacillus (-20000.0) (abundance=0) (cdf=0),[33039] [Ruminococcus] torques (20000.0) (abundance=0) (cdf=0),[33043] Coprococcus eutactus (-20000.0) (abundance=0) (cdf=0),[74426] Collinsella aerofaciens (-20000.0) (abundance=0) (cdf=0),[1678] Bifidobacterium (-20000.0) (abundance=0) (cdf=0),[29465] Veillonella (-20000.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensitivity:Non-Celiac Gluten Sensitivity,health_concerns,[216572] Oscillospiraceae (1.937885266300988e+16) (abundance=0) (cdf=0),[1239] Bacillota (-1.0002397679160204) (abundance=0) (cdf=0),[200643] Bacteroidia (1.0002397679160204) (abundance=0) (cdf=0),[1224] Pseudomonadota (1.0002397679160204) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactose Digestion,health_concerns,[1678] Bifidobacterium (126.54666026197859) (abundance=0) (cdf=0),[853] Faecalibacterium prausnitzii (69.45710007961658) (abundance=0) (cdf=0),[1596] Lactobacillus gasseri (69.45710007961658) (abundance=0) (cdf=0),[562] Escherichia coli (2.249916843755347) (abundance=0) (cdf=0),[1680] Bifidobacterium adolescentis (2.2098372746746247) (abundance=0) (cdf=0),[216816] Bifidobacterium longum (2.2098372746746247) (abundance=0) (cdf=0),[272621] Lactobacillus acidophilus NCFM (1.356851150520123) (abundance=0) (cdf=0),[571] Klebsiella oxytoca (1.1790247131169247) (abundance=0) (cdf=0),[818] Bacteroides thetaiotaomicron (1.1790247131169247) (abundance=0) (cdf=0),[39491] Agathobacter rectalis (1.1790247131169247) (abundance=0) (cdf=0),[823] Parabacteroides distasonis (1.1790247131169247) (abundance=0) (cdf=0),[33035] Blautia producta (1.1790247131169247) (abundance=0) (cdf=0),[28132] Prevotella melaninogenica (1.1790247131169247) (abundance=0) (cdf=0),[1559] Clostridium tertium (1.1790247131169247) (abundance=0) (cdf=0),[821] Phocaeicola vulgatus (1.1790247131169247) (abundance=0) (cdf=0),[39492] [Eubacterium] siraeum (1.1790247131169247) (abundance=0) (cdf=0),[573] Klebsiella pneumoniae (1.1790247131169247) (abundance=0) (cdf=0),[1338] Streptococcus intermedius (1.1790247131169247) (abundance=0) (cdf=0),[548] Klebsiella aerogenes (1.1790247131169247) (abundance=0) (cdf=0),[1304] Streptococcus salivarius (1.1790247131169247) (abundance=0) (cdf=0),[550] Enterobacter cloacae (1.1790247131169247) (abundance=0) (cdf=0),[1579] Lactobacillus acidophilus (1.1790247131169247) (abundance=0) (cdf=0),[29363] Clostridium paraputrificum (1.1790247131169247) (abundance=0) (cdf=0),[74426] Collinsella aerofaciens (1.1790247131169247) (abundance=0) (cdf=0),[1870985] Arabiibacter massiliensis (1.1596430620374578) (abundance=0) (cdf=0),[1694] Bifidobacterium pseudolongum (1.0308125615576997) (abundance=0) (cdf=0),[1681] Bifidobacterium bifidum (1.0308125615576997) (abundance=0) (cdf=0),[1630162] Bifidobacterium tissieri (1.0308125615576997) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Wake Disorders,health_concerns,[186803] Lachnospiraceae (17.941500619174846) (abundance=0) (cdf=0),[2740] Peptococcus (-13.14673790069697) (abundance=0) (cdf=0),[119852] Oscillospira (-11.386309691533137) (abundance=0) (cdf=0),[1348911] Coprobacter (-11.386309691533137) (abundance=0) (cdf=0),[482] Neisseria (-5.137973122875109) (abundance=0) (cdf=0),[1716] Corynebacterium (-5.137973122875109) (abundance=0) (cdf=0),[128827] Erysipelotrichaceae (-5.137973122875109) (abundance=0) (cdf=0),[33042] Coprococcus (5.137973122875109) (abundance=0) (cdf=0),[61170] Holdemania (-5.137973122875109) (abundance=0) (cdf=0),[1696] Brevibacterium (-5.137973122875109) (abundance=0) (cdf=0),[572511] Blautia (5.137973122875109) (abundance=0) (cdf=0),[40544] Sutterella (-4.116351121583457) (abundance=0) (cdf=0),[265975] Oribacterium (3.7207553181085076) (abundance=0) (cdf=0),[904] Acidaminococcus (3.5110804397129303) (abundance=0) (cdf=0),[191303] Turicibacter (-3.225279305985616) (abundance=0) (cdf=0),[848] Fusobacterium (3.225279305985616) (abundance=0) (cdf=0),[39948] Dialister (3.225279305985616) (abundance=0) (cdf=0),[438033] Ruminococcus gauvreauii (-1.760428209163833) (abundance=0) (cdf=0),[39496] Eubacterium ventriosum (-1.760428209163833) (abundance=0) (cdf=0),[1263031] Firmicutes bacterium CAG:56 (-1.760428209163833) (abundance=0) (cdf=0),[189330] Dorea (-1.760428209163833) (abundance=0) (cdf=0),[216851] Faecalibacterium (-1.760428209163833) (abundance=0) (cdf=0),[1407607] Fusicatenibacter (-1.760428209163833) (abundance=0) (cdf=0),[200643] Bacteroidia (-1.7506522305490972) (abundance=0) (cdf=0),[1239] Bacillota (1.7506522305490972) (abundance=0) (cdf=0),[35832] Bilophila (1.4172178047666013) (abundance=0) (cdf=0),[283168] Odoribacter (1.4172178047666013) (abundance=0) (cdf=0),[32207] Rothia (-1.4172178047666013) (abundance=0) (cdf=0),[613] Serratia (-1.4172178047666013) (abundance=0) (cdf=0),[35493] Streptophyta (-1.4172178047666013) (abundance=0) (cdf=0),[1654] Actinomyces (-1.4172178047666013) (abundance=0) (cdf=0),[1301] Streptococcus (-1.4172178047666013) (abundance=0) (cdf=0),[201174] Actinomycetota (-1.051862549777947) (abundance=0) (cdf=0),[1578] Lactobacillus (0.3432104043972316) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glucose Digestion,health_concerns,[272621] Lactobacillus acidophilus NCFM (87.09395589598408) (abundance=0) (cdf=0),[1870985] Arabiibacter massiliensis (3.310128107728133) (abundance=0) (cdf=0),[471511] Bifidobacterium bombi (1.0000468299258327) (abundance=0) (cdf=0),[1681] Bifidobacterium bifidum (1.0000468299258327) (abundance=0) (cdf=0),[216816] Bifidobacterium longum (1.0000468299258327) (abundance=0) (cdf=0),[1684] Bifidobacterium asteroides (1.0000468299258327) (abundance=0) (cdf=0),[78343] Bifidobacterium boum (1.0000468299258327) (abundance=0) (cdf=0),[78448] Bifidobacterium pullorum (1.0000468299258327) (abundance=0) (cdf=0),[1694] Bifidobacterium pseudolongum (1.0000468299258327) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cholelithiasis,health_concerns,[102106] Collinsella (1.0) (abundance=0) (cdf=0),[292632] Subdoligranulum (1.0) (abundance=0) (cdf=0),[1678] Bifidobacterium (1.0) (abundance=0) (cdf=0),[1766253] Agathobacter (1.0) (abundance=0) (cdf=0),[1301] Streptococcus (1.0) (abundance=0) (cdf=0),[216851] Faecalibacterium (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyspnea,health_concerns,[1301] Streptococcus (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liver Cirrhosis, Alcoholic",health_concerns,[816] Bacteroides (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Signs and Symptoms, Digestive",health_concerns,[216851] Faecalibacterium (-12.63877211981123) (abundance=0) (cdf=0),[577310] Parasutterella (10.057343889267143) (abundance=0) (cdf=0),[40544] Sutterella (-10.057343889267143) (abundance=0) (cdf=0),[1643826] Eggerthellaceae (-10.057343889267143) (abundance=0) (cdf=0),[543] Enterobacteriaceae (10.057343889267143) (abundance=0) (cdf=0),[158846] Megamonas (-10.057343889267143) (abundance=0) (cdf=0),[1224] Pseudomonadota (5.733139751499977) (abundance=0) (cdf=0),[1578] Lactobacillus (4.535464703258008) (abundance=0) (cdf=0),[1485] Clostridium (-4.535464703258008) (abundance=0) (cdf=0),[815] Bacteroidaceae (4.198125840913888) (abundance=0) (cdf=0),[200643] Bacteroidia (4.198125840913888) (abundance=0) (cdf=0),[31953] Bifidobacteriaceae (4.198125840913888) (abundance=0) (cdf=0),[128827] Erysipelotrichaceae (4.198125840913888) (abundance=0) (cdf=0),[28890] Methanobacteriota (4.198125840913888) (abundance=0) (cdf=0),[1239] Bacillota (-4.198125840913888) (abundance=0) (cdf=0),[33042] Coprococcus (-3.888935093771393) (abundance=0) (cdf=0),[1263] Ruminococcus (-3.227957840030703) (abundance=0) (cdf=0),[841] Roseburia (-3.227957840030703) (abundance=0) (cdf=0),[469] Acinetobacter (3.227957840030703) (abundance=0) (cdf=0),[1730] Eubacterium (3.227957840030703) (abundance=0) (cdf=0),[201174] Actinomycetota (2.6631119303277986) (abundance=0) (cdf=0),[1501226] Romboutsia (-1.3075068632273055) (abundance=0) (cdf=0),[186802] Eubacteriales (-1.3075068632273055) (abundance=0) (cdf=0),[186801] Clostridia (-1.3075068632273055) (abundance=0) (cdf=0),[1918450] Cuneatibacter (-1.3075068632273055) (abundance=0) (cdf=0),[135858] Catenibacterium (-1.3075068632273055) (abundance=0) (cdf=0),[1937008] Dubosiella (-1.3075068632273055) (abundance=0) (cdf=0),[292632] Subdoligranulum (-1.3075068632273055) (abundance=0) (cdf=0),[1350] Enterococcus (1.3075068632273055) (abundance=0) (cdf=0),[2172] Methanobrevibacter (-1.3075068632273055) (abundance=0) (cdf=0),[171549] Bacteroidales (-1.3075068632273055) (abundance=0) (cdf=0),[570] Klebsiella (1.3075068632273055) (abundance=0) (cdf=0),[191303] Turicibacter (-1.3075068632273055) (abundance=0) (cdf=0),[165695] Sphingobium (1.3075068632273055) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glycerol Digestion,health_concerns,[1870985] Arabiibacter massiliensis (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sucralose Digestion,health_concerns,[561] Escherichia (1.0) (abundance=0) (cdf=0),[620] Shigella (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Initiation and Maintenance Disorders,health_concerns,[909929] Selenomonadales (10.0288043930447) (abundance=0) (cdf=0),[909932] Negativicutes (10.0288043930447) (abundance=0) (cdf=0),[816] Bacteroides (-8.162359234253875) (abundance=0) (cdf=0),[171552] Prevotellaceae (5.161379638968596) (abundance=0) (cdf=0),[838] Prevotella (5.161379638968596) (abundance=0) (cdf=0),[47770] Lactobacillus crispatus (4.544516637249218) (abundance=0) (cdf=0),[1301] Streptococcus (4.544516637249218) (abundance=0) (cdf=0),[815] Bacteroidaceae (-4.4062813296706524) (abundance=0) (cdf=0),[1506553] Lachnoclostridium (4.322111897938601) (abundance=0) (cdf=0),[189330] Dorea (4.322111897938601) (abundance=0) (cdf=0),[216572] Oscillospiraceae (-4.291639806489699) (abundance=0) (cdf=0),[1578] Lactobacillus (3.789418327951273) (abundance=0) (cdf=0),[40520] Blautia obeum (3.0009795952852785) (abundance=0) (cdf=0),[165179] Segatella copri (3.0009795952852785) (abundance=0) (cdf=0),[301302] Roseburia faecis (3.0009795952852785) (abundance=0) (cdf=0),[853] Faecalibacterium prausnitzii (-3.0009795952852785) (abundance=0) (cdf=0),[1150298] Fusicatenibacter saccharivorans (3.0009795952852785) (abundance=0) (cdf=0),[1263] Ruminococcus (3.0009795952852785) (abundance=0) (cdf=0),[200643] Bacteroidia (-2.245881285987334) (abundance=0) (cdf=0),[850] Fusobacterium mortiferum (1.3012015952701586) (abundance=0) (cdf=0),[360807] Roseburia inulinivorans (1.3012015952701586) (abundance=0) (cdf=0),[84111] Eggerthella (1.0444944130219411) (abundance=0) (cdf=0),[946234] Flavonifractor (-0.8697398324788973) (abundance=0) (cdf=0),[133925] Olsenella (-0.8697398324788973) (abundance=0) (cdf=0),[186803] Lachnospiraceae (0.8697398324788973) (abundance=0) (cdf=0),[31969] Mollicutes (-0.7550983092979441) (abundance=0) (cdf=0),[91061] Bacilli (-0.7550983092979441) (abundance=0) (cdf=0),[2762318] Weeksellaceae (-0.7550983092979441) (abundance=0) (cdf=0),[81852] Enterococcaceae (-0.7550983092979441) (abundance=0) (cdf=0),[171549] Bacteroidales (0.7550983092979441) (abundance=0) (cdf=0),[80864] Comamonadaceae (-0.7550983092979441) (abundance=0) (cdf=0),[186807] Peptococcaceae (-0.7550983092979441) (abundance=0) (cdf=0),[85025] Nocardiaceae (-0.7550983092979441) (abundance=0) (cdf=0),[117743] Flavobacteriia (-0.7550983092979441) (abundance=0) (cdf=0),[186802] Eubacteriales (-0.7550983092979441) (abundance=0) (cdf=0),[186801] Clostridia (-0.7550983092979441) (abundance=0) (cdf=0),[1300] Streptococcaceae (-0.7550983092979441) (abundance=0) (cdf=0),[31979] Clostridiaceae (-0.7550983092979441) (abundance=0) (cdf=0),[990719] Christensenellaceae (-0.7550983092979441) (abundance=0) (cdf=0),[2810281] Turicibacteraceae (-0.7550983092979441) (abundance=0) (cdf=0),[200644] Flavobacteriales (-0.7550983092979441) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triglycerides,health_concerns,[39948] Dialister (-10.268629350603758) (abundance=0) (cdf=0),[102106] Collinsella (8.611297170015744) (abundance=0) (cdf=0),[186928] unclassified Lachnospiraceae (7.114287566352801) (abundance=0) (cdf=0),[1357] Lactococcus (7.114287566352801) (abundance=0) (cdf=0),[33039] [Ruminococcus] torques (7.114287566352801) (abundance=0) (cdf=0),[580596] Butyricicoccus (7.114287566352801) (abundance=0) (cdf=0),[39496] Eubacterium ventriosum (7.114287566352801) (abundance=0) (cdf=0),[74201] Verrucomicrobiota (7.114287566352801) (abundance=0) (cdf=0),[29465] Veillonella (-7.114287566352801) (abundance=0) (cdf=0),[572511] Blautia (7.114287566352801) (abundance=0) (cdf=0),[1350] Enterococcus (-7.114287566352801) (abundance=0) (cdf=0),[1501226] Romboutsia (5.492383926086452) (abundance=0) (cdf=0),[906] Megasphaera (-5.492383926086452) (abundance=0) (cdf=0),[186802] Eubacteriales (-3.8181017968173756) (abundance=0) (cdf=0),[1239] Bacillota (-3.8181017968173756) (abundance=0) (cdf=0),[216851] Faecalibacterium (-3.154341784250957) (abundance=0) (cdf=0),[848] Fusobacterium (1.7156138681989774) (abundance=0) (cdf=0),[207244] Anaerostipes (-1.7156138681989774) (abundance=0) (cdf=0),[119852] Oscillospira (-1.7156138681989774) (abundance=0) (cdf=0),[1578] Lactobacillus (-1.6525150295853013) (abundance=0) (cdf=0),[33958] Lactobacillaceae (-1.6525150295853013) (abundance=0) (cdf=0),[46205] Pseudobutyrivibrio (-1.6525150295853013) (abundance=0) (cdf=0),[1573535] Holdemanella (1.6219036402663494) (abundance=0) (cdf=0),[1266] Sarcina (1.6219036402663494) (abundance=0) (cdf=0),[1407607] Fusicatenibacter (-1.6219036402663494) (abundance=0) (cdf=0),[216572] Oscillospiraceae (-1.3613398292144199) (abundance=0) (cdf=0),[1300] Streptococcaceae (1.3613398292144199) (abundance=0) (cdf=0),[562] Escherichia coli (-1.2146019294563215) (abundance=0) (cdf=0),[239759] Alistipes (1.000182413292441) (abundance=0) (cdf=0),[61170] Holdemania (-1.000182413292441) (abundance=0) (cdf=0),[244127] Anaerotruncus (1.000182413292441) (abundance=0) (cdf=0),[872] Desulfovibrio (1.000182413292441) (abundance=0) (cdf=0),[35832] Bilophila (1.000182413292441) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
